count,date
82,2014-10-28 00:00:00
82,2014-10-29 00:00:00
73,2014-10-30 00:00:00
65,2014-10-31 00:00:00
37,2014-11-01 00:00:00
26,2014-11-02 00:00:00
88,2014-11-03 00:00:00
115,2014-11-04 00:00:00
77,2014-11-05 00:00:00
309,2014-11-06 00:00:00
369,2014-11-07 00:00:00
94,2014-11-08 00:00:00
49,2014-11-09 00:00:00
109,2014-11-10 00:00:00
81,2014-11-11 00:00:00
93,2014-11-12 00:00:00
108,2014-11-13 00:00:00
80,2014-11-14 00:00:00
57,2014-11-15 00:00:00
51,2014-11-16 00:00:00
104,2014-11-17 00:00:00
155,2014-11-18 00:00:00
62,2014-11-19 00:00:00
78,2014-11-20 00:00:00
81,2014-11-21 00:00:00
29,2014-11-22 00:00:00
30,2014-11-23 00:00:00
74,2014-11-24 00:00:00
74,2014-11-25 00:00:00
121,2014-11-26 00:00:00
68,2014-11-27 00:00:00
64,2014-11-28 00:00:00
28,2014-11-29 00:00:00
22,2014-11-30 00:00:00
91,2014-12-01 00:00:00
97,2014-12-02 00:00:00
87,2014-12-03 00:00:00
127,2014-12-04 00:00:00
84,2014-12-05 00:00:00
58,2014-12-06 00:00:00
53,2014-12-07 00:00:00
95,2014-12-08 00:00:00
111,2014-12-09 00:00:00
83,2014-12-10 00:00:00
332,2014-12-11 00:00:00
189,2014-12-12 00:00:00
46,2014-12-13 00:00:00
36,2014-12-14 00:00:00
84,2014-12-15 00:00:00
148,2014-12-16 00:00:00
126,2014-12-17 00:00:00
140,2014-12-18 00:00:00
136,2014-12-19 00:00:00
64,2014-12-20 00:00:00
42,2014-12-21 00:00:00
113,2014-12-22 00:00:00
74,2014-12-23 00:00:00
52,2014-12-24 00:00:00
50,2014-12-25 00:00:00
93,2014-12-26 00:00:00
114,2014-12-27 00:00:00
37,2014-12-28 00:00:00
71,2014-12-29 00:00:00
92,2014-12-30 00:00:00
155,2014-12-31 00:00:00
54,2015-01-01 00:00:00
87,2015-01-02 00:00:00
32,2015-01-03 00:00:00
47,2015-01-04 00:00:00
141,2015-01-05 00:00:00
198,2015-01-06 00:00:00
130,2015-01-07 00:00:00
80,2015-01-08 00:00:00
118,2015-01-09 00:00:00
48,2015-01-10 00:00:00
42,2015-01-11 00:00:00
101,2015-01-12 00:00:00
250,2015-01-13 00:00:00
216,2015-01-14 00:00:00
230,2015-01-15 00:00:00
160,2015-01-16 00:00:00
40,2015-01-17 00:00:00
